rank,followers,engagement_rate,category,potential_reach,country,channel_name,channel_id
49,652000.0,0.58,unknown,195600.0,ecuador,Dreaming TV,UCF87l5C1yvDUZxzxdJ94JVw
50,649000.0,0.58,unknown,194700.0,ecuador,NanDito Ind,UCSvDtZxWenZ2jt0-oHzPM9A
51,649000.0,0.58,unknown,194700.0,ecuador,Hacia un Nuevo Estilo de Vida,UCygsuqHrjo5Tv5L1hPzryog
52,648000.0,0.58,unknown,194400.0,ecuador,The Covers Duo,UC2X-Km5vNPYT647tHFLcnWw
53,644000.0,0.58,unknown,193200.0,ecuador,Keydan SK,UC4hEC152wXH_-UyX6LjrLgg
54,636000.0,0.58,unknown,190800.0,ecuador,Alex Espin,UCNJtFEVQ_FKvKEh6OGpKZhQ
55,625000.0,0.58,unknown,187500.0,ecuador,enchufeplus,UCh78F0yEEeFWKoo4aNvCqgg
56,593000.0,0.8,unknown,177900.0,ecuador,Kido Senpai,UCi9x-GTbIG78jOb_I_KvGlA
57,573000.0,0.58,unknown,171900.0,ecuador,Emprende Rapeando,UCqsr0GoekQiuBzipL4SSloA
58,565000.0,0.1,unknown,169500.0,ecuador,Fighter 593,UCR9Qg7_XsLjtNK1uvtabkhQ
59,556000.0,0.58,unknown,166800.0,ecuador,iLuisCrah,UCyKvYdD5KeS2wgeNAgm5xSQ
60,555000.0,0.58,unknown,166500.0,ecuador,LEONARDBLUE S.A.,UCE8VEu6qMJ_6Wp-7B-i4sug
61,536000.0,0.58,unknown,160800.0,ecuador,EsqueSoyBrandon,UCIou54V3KNzvzDi39u353hQ
62,529000.0,0.5,unknown,158700.0,ecuador,Paris Fernando,UC3XmTHt0IN_C0ETJec2lpKg
63,529000.0,0.1,unknown,158700.0,ecuador,DEKUZAM,UCR_M-VagOOrAqFoWqubGjXQ
64,524000.0,0.58,unknown,157200.0,ecuador,AdoNis,UCwVs_-H_9HZWQaWWc8rWUkg
65,513000.0,0.1,unknown,153900.0,ecuador,Logan y Logan,UCAH2A_kID45Z0GLhD49Eykw
